M(Mo)	logNHI_mean	err_logNHI_mean	L_mean	err_L_mean
8.0	44.5373	0.069	3233.1667	366.2318
8.2	44.6129	0.0753	3649.1429	487.7487
8.4	44.7411	0.0762	3953.5714	542.5544
8.6	44.8403	0.0976	4267.4286	569.303
8.8	44.9397	0.0825	4613.0	634.4192
9.0	45.0113	0.0972	4804.0	572.6392
9.2	45.1183	0.0736	5160.8333	615.9255
9.4	45.2302	0.0817	5531.0	659.4392
9.6	45.3018	0.1004	5920.6667	707.6597
9.8	45.4103	0.0969	6320.5	757.4153
10.0	45.5217	0.1235	6745.0	809.1479
11.0	45.9377	0.079	9146.1667	1135.1612
12.0	46.3188	0.0982	11925.0	1363.4478
14.0	46.9948	0.0759	18970.0	2190.8446
16.0	47.4952	0.2084	27800.0	3285.3432
18.0	47.9358	0.0719	38525.0	4440.688
20.0	48.184	0.01	49598.0	4463.82
21.9	48.325	0.0158	66197.5	4692.5
23.833	48.444	0.0384	81892.222	6761.6666
25.833	48.61	0.017	95848.333	7572.5
27.775	48.723	0.0315	116662.5	10275.0
29.72	48.81	0.033	134240.0	13350.0
34.52	49.0	0.021	189440.0	17100.0
39.475	49.162	0.017	246550.0	15650.0
49.125	49.399	0.013	388125.0	19500.0
58.65	49.556	0.01	548600.0	22750.0
68.633	49.693	0.01	716333.333	17450.0
77.55	49.802	0.01	915300.0	7300.0
82.2	49.847	0.01	1013000.0	7000.0
87.6	49.896	0.01	1108000.0	99720.0
92.3	49.935	0.01	1211000.0	108990.0
97.1	49.971	0.01	1318000.0	118620.0
106.6	50.038	0.01	1537000.0	138330.0
